annee,parametre,entite_geo,indicateur,valeur
1988,Orthophosp,FRF_GARO,indic_b100,"0,6438331684"
1989,Orthophosp,FRF_GARO,indic_b100,"1,3398199993"
1990,Orthophosp,FRF_GARO,indic_b100,1
1991,Orthophosp,FRF_GARO,indic_b100,"0,7875"
1992,Orthophosp,FRF_GARO,indic_b100,"0,6285714286"
1993,Orthophosp,FRF_GARO,indic_b100,"0,6174488914"
1994,Orthophosp,FRF_GARO,indic_b100,"0,7356965174"
1995,Orthophosp,FRF_GARO,indic_b100,"0,6913926675"
1996,Orthophosp,FRF_GARO,indic_b100,"0,8317073171"
1997,Orthophosp,FRF_GARO,indic_b100,"0,6528181273"
1998,Orthophosp,FRF_GARO,indic_b100,"0,5911198554"
1999,Orthophosp,FRF_GARO,indic_b100,"0,5419608581"
2000,Orthophosp,FRF_GARO,indic_b100,"0,5258987384"
2001,Orthophosp,FRF_GARO,indic_b100,"0,5335335524"
2002,Orthophosp,FRF_GARO,indic_b100,"0,532769556"
2003,Orthophosp,FRF_GARO,indic_b100,"0,3875457875"
2004,Orthophosp,FRF_GARO,indic_b100,"0,3118802767"
2005,Orthophosp,FRF_GARO,indic_b100,"0,3820901321"
2006,Orthophosp,FRF_GARO,indic_b100,"0,3118227787"
2007,Orthophosp,FRF_GARO,indic_b100,"0,4711934267"
2008,Orthophosp,FRF_GARO,indic_b100,"0,3358974359"
2009,Orthophosp,FRF_GARO,indic_b100,"0,2576470588"
2010,Orthophosp,FRF_GARO,indic_b100,"0,2941595442"
2011,Orthophosp,FRF_GARO,indic_b100,"0,2700351286"
2012,Orthophosp,FRF_GARO,indic_b100,"0,2616541679"
2013,Orthophosp,FRF_GARO,indic_b100,"0,1750396444"
2014,Orthophosp,FRF_GARO,indic_b100,"0,2486068111"
2015,Orthophosp,FRF_GARO,indic_b100,"0,2593371772"
2016,Orthophosp,FRF_GARO,indic_b100,"0,3961162433"
2017,Orthophosp,FRF_GARO,indic_b100,"0,2646245049"
2018,Orthophosp,FRF_GARO,indic_b100,"0,1978889884"
1971,Orthophosp,FRF_LOT,indic_b100,"1,4684240553"
1972,Orthophosp,FRF_LOT,indic_b100,"1,8181818182"
1973,Orthophosp,FRF_LOT,indic_b100,"0,8120566182"
1974,Orthophosp,FRF_LOT,indic_b100,"0,6318787031"
1975,Orthophosp,FRF_LOT,indic_b100,"0,9414168049"
1976,Orthophosp,FRF_LOT,indic_b100,"0,9261338913"
1977,Orthophosp,FRF_LOT,indic_b100,"0,6106122449"
1978,Orthophosp,FRF_LOT,indic_b100,"0,9908256881"
1979,Orthophosp,FRF_LOT,indic_b100,"0,9333333333"
1980,Orthophosp,FRF_LOT,indic_b100,"1,0702746365"
1981,Orthophosp,FRF_LOT,indic_b100,"0,871749409"
1982,Orthophosp,FRF_LOT,indic_b100,"1,0568807339"
1983,Orthophosp,FRF_LOT,indic_b100,"0,9357798165"
1984,Orthophosp,FRF_LOT,indic_b100,"0,5694444444"
1985,Orthophosp,FRF_LOT,indic_b100,"0,6153030472"
1986,Orthophosp,FRF_LOT,indic_b100,"0,6388542964"
1987,Orthophosp,FRF_LOT,indic_b100,"1,1601845748"
1988,Orthophosp,FRF_LOT,indic_b100,"0,9025911708"
1989,Orthophosp,FRF_LOT,indic_b100,"1,2380952381"
1990,Orthophosp,FRF_LOT,indic_b100,"0,9444444444"
1991,Orthophosp,FRF_LOT,indic_b100,"1,2385321101"
1992,Orthophosp,FRF_LOT,indic_b100,"0,6429341963"
1993,Orthophosp,FRF_LOT,indic_b100,"1,0756177786"
1994,Orthophosp,FRF_LOT,indic_b100,"0,8987668295"
1995,Orthophosp,FRF_LOT,indic_b100,"0,7557279376"
1996,Orthophosp,FRF_LOT,indic_b100,"0,9563106796"
1997,Orthophosp,FRF_LOT,indic_b100,"0,6622053138"
1998,Orthophosp,FRF_LOT,indic_b100,"0,5590909091"
1999,Orthophosp,FRF_LOT,indic_b100,"0,3772727273"
2000,Orthophosp,FRF_LOT,indic_b100,"0,4933333333"
2001,Orthophosp,FRF_LOT,indic_b100,"0,5032811585"
2002,Orthophosp,FRF_LOT,indic_b100,"0,6666666667"
2003,Orthophosp,FRF_LOT,indic_b100,"0,476212962"
2004,Orthophosp,FRF_LOT,indic_b100,"0,4500819757"
2005,Orthophosp,FRF_LOT,indic_b100,"0,5902864259"
2006,Orthophosp,FRF_LOT,indic_b100,"0,5678704857"
2007,Orthophosp,FRF_LOT,indic_b100,"0,4671274386"
2008,Orthophosp,FRF_LOT,indic_b100,"0,4740740741"
2009,Orthophosp,FRF_LOT,indic_b100,"0,4714819427"
2010,Orthophosp,FRF_LOT,indic_b100,"0,5291207616"
2011,Orthophosp,FRF_LOT,indic_b100,"0,5825757576"
2012,Orthophosp,FRF_LOT,indic_b100,"0,4122222222"
2013,Orthophosp,FRF_LOT,indic_b100,"0,4208083512"
2014,Orthophosp,FRF_LOT,indic_b100,"0,501618123"
2015,Orthophosp,FRF_LOT,indic_b100,"0,496969697"
2016,Orthophosp,FRF_LOT,indic_b100,"0,3318623124"
2017,Orthophosp,FRF_LOT,indic_b100,"0,4051851852"
2018,Orthophosp,FRF_LOT,indic_b100,"0,4398058252"
1971,Orthophosp,FRF_TARN,indic_b100,"1,1993918343"
1972,Orthophosp,FRF_TARN,indic_b100,"0,8565810135"
1973,Orthophosp,FRF_TARN,indic_b100,"0,9114069266"
1974,Orthophosp,FRF_TARN,indic_b100,"0,7231598193"
1975,Orthophosp,FRF_TARN,indic_b100,"0,8483404886"
1976,Orthophosp,FRF_TARN,indic_b100,"0,6597778874"
1977,Orthophosp,FRF_TARN,indic_b100,"0,5343137255"
1978,Orthophosp,FRF_TARN,indic_b100,"0,681372549"
1979,Orthophosp,FRF_TARN,indic_b100,"1,0611910515"
1980,Orthophosp,FRF_TARN,indic_b100,"0,6765132182"
1981,Orthophosp,FRF_TARN,indic_b100,"0,3881785778"
1982,Orthophosp,FRF_TARN,indic_b100,"1,0052083333"
1983,Orthophosp,FRF_TARN,indic_b100,"0,7336490366"
1984,Orthophosp,FRF_TARN,indic_b100,"0,867964581"
1985,Orthophosp,FRF_TARN,indic_b100,"0,544049745"
1986,Orthophosp,FRF_TARN,indic_b100,"0,9058402826"
1987,Orthophosp,FRF_TARN,indic_b100,"0,7425112193"
1988,Orthophosp,FRF_TARN,indic_b100,"0,6711159097"
1989,Orthophosp,FRF_TARN,indic_b100,"0,9077253219"
1990,Orthophosp,FRF_TARN,indic_b100,"0,832821911"
1991,Orthophosp,FRF_TARN,indic_b100,"0,8335217158"
1992,Orthophosp,FRF_TARN,indic_b100,"0,4980237154"
1993,Orthophosp,FRF_TARN,indic_b100,"0,6388425782"
1994,Orthophosp,FRF_TARN,indic_b100,"0,4725490196"
1995,Orthophosp,FRF_TARN,indic_b100,"0,556744186"
1996,Orthophosp,FRF_TARN,indic_b100,"0,3888888889"
1997,Orthophosp,FRF_TARN,indic_b100,"0,4610007106"
1998,Orthophosp,FRF_TARN,indic_b100,"0,3722222222"
1999,Orthophosp,FRF_TARN,indic_b100,"0,5016553529"
2000,Orthophosp,FRF_TARN,indic_b100,"0,3917475728"
2001,Orthophosp,FRF_TARN,indic_b100,"0,431372549"
2002,Orthophosp,FRF_TARN,indic_b100,"0,2622698725"
2003,Orthophosp,FRF_TARN,indic_b100,"0,3494285378"
2004,Orthophosp,FRF_TARN,indic_b100,"0,3241854817"
2005,Orthophosp,FRF_TARN,indic_b100,"0,2637209302"
2006,Orthophosp,FRF_TARN,indic_b100,"0,2218673219"
2007,Orthophosp,FRF_TARN,indic_b100,"0,2413194444"
2008,Orthophosp,FRF_TARN,indic_b100,"0,204666554"
2009,Orthophosp,FRF_TARN,indic_b100,"0,1729285314"
2010,Orthophosp,FRF_TARN,indic_b100,"0,2225234397"
2011,Orthophosp,FRF_TARN,indic_b100,"0,1886331761"
2012,Orthophosp,FRF_TARN,indic_b100,"0,1680555556"
2013,Orthophosp,FRF_TARN,indic_b100,"0,1582249412"
2014,Orthophosp,FRF_TARN,indic_b100,"0,1734978541"
2015,Orthophosp,FRF_TARN,indic_b100,"0,1757692465"
2016,Orthophosp,FRF_TARN,indic_b100,"0,1568013834"
2017,Orthophosp,FRF_TARN,indic_b100,"0,1592494668"
2018,Orthophosp,FRF_TARN,indic_b100,"0,1379504505"
1971,Orthophosp,FRF_ADOU,indic_b100,"1,1896897698"
1972,Orthophosp,FRF_ADOU,indic_b100,"0,8695652174"
1973,Orthophosp,FRF_ADOU,indic_b100,"0,9473980227"
1974,Orthophosp,FRF_ADOU,indic_b100,"1,129314431"
1975,Orthophosp,FRF_ADOU,indic_b100,"0,7887883208"
1976,Orthophosp,FRF_ADOU,indic_b100,"1,2488353328"
1977,Orthophosp,FRF_ADOU,indic_b100,"1,0356743536"
1978,Orthophosp,FRF_ADOU,indic_b100,"0,8599431818"
1979,Orthophosp,FRF_ADOU,indic_b100,"1,000787286"
1980,Orthophosp,FRF_ADOU,indic_b100,"1,2078403673"
1981,Orthophosp,FRF_ADOU,indic_b100,"1,2027027027"
1982,Orthophosp,FRF_ADOU,indic_b100,"1,1760550945"
1983,Orthophosp,FRF_ADOU,indic_b100,"1,2339622642"
1984,Orthophosp,FRF_ADOU,indic_b100,"1,3075796096"
1985,Orthophosp,FRF_ADOU,indic_b100,"0,9185697115"
1986,Orthophosp,FRF_ADOU,indic_b100,"1,0524442185"
1987,Orthophosp,FRF_ADOU,indic_b100,"1,1304869352"
1988,Orthophosp,FRF_ADOU,indic_b100,"1,0253088538"
1989,Orthophosp,FRF_ADOU,indic_b100,"1,4222736723"
1990,Orthophosp,FRF_ADOU,indic_b100,"1,1677194149"
1991,Orthophosp,FRF_ADOU,indic_b100,"1,1180555556"
1992,Orthophosp,FRF_ADOU,indic_b100,"0,9811786227"
1993,Orthophosp,FRF_ADOU,indic_b100,"1,279647943"
1994,Orthophosp,FRF_ADOU,indic_b100,"1,198532991"
1995,Orthophosp,FRF_ADOU,indic_b100,"1,1382149555"
1996,Orthophosp,FRF_ADOU,indic_b100,"1,3180147059"
1997,Orthophosp,FRF_ADOU,indic_b100,"0,9885471563"
1998,Orthophosp,FRF_ADOU,indic_b100,"0,9733655509"
1999,Orthophosp,FRF_ADOU,indic_b100,"0,8243308416"
2000,Orthophosp,FRF_ADOU,indic_b100,"1,188624322"
2001,Orthophosp,FRF_ADOU,indic_b100,"0,9901384913"
2002,Orthophosp,FRF_ADOU,indic_b100,"1,1556372549"
2003,Orthophosp,FRF_ADOU,indic_b100,"0,7526500439"
2004,Orthophosp,FRF_ADOU,indic_b100,"0,8540311861"
2005,Orthophosp,FRF_ADOU,indic_b100,"0,7233901007"
2006,Orthophosp,FRF_ADOU,indic_b100,"0,7229012355"
2007,Orthophosp,FRF_ADOU,indic_b100,"1,0032251422"
