annee,lb_geo,POSOR_MO,POSOR_DBO5,POSOR_NR,POSOR_PT
1992,63,"0,255","0,17","0,016","0,009"
1992,64,"8,478","5,652","1,535","0,259"
1992,65,"0,989","0,6593333333","0,15","0,037"
1992,79,"0,257","0,1713333333","0,282","0,015"
1992,81,"22,28","14,8533333333","2,786","0,205"
1992,82,"1,193","0,7953333333","0,16","0,106"
1992,86,"0,302","0,2013333333","0,037","0,024"
1992,87,"0,121","0,0806666667","0,007","0,003"
1992,bag,"189,088","126,0586666667","17,959","5,321"
1992,FRF_ADOU,"35,952","23,968","3,533","0,578"
1992,FRF_CHAR,"18,399","12,266","2,292","0,267"
1992,FRF_DORD,"27,738","18,492","1,48","0,488"
1992,FRF_GARO,"48,148","32,0986666667","6,525","2,729"
1992,FRF_LITT,"23,094","15,396","0,492","0,323"
1992,FRF_LOT,"8,407","5,6046666667","0,381","0,221"
1992,FRF_TARN,"27,081","18,054","3,23","0,695"
1993,09,"5,434","3,6226666667","0,413","0,117"
1993,12,"3,084","2,056","0,252","0,418"
1993,15,"1,749","1,166","0,094","0,128"
1993,16,"12,411","8,274","2,078","0,187"
1993,17,"7,773","5,182","0,206","0,094"
1993,19,"3,316","2,2106666667","0,072","0,048"
1993,24,"12,299","8,1993333333","0,558","0,227"
1993,31,"14,428","9,6186666667","3,168","0,624"
1993,32,"3,475","2,3166666667","0,139","0,038"
1993,33,"28,058","18,7053333333","2,226","0,473"
1993,40,"38,176","25,4506666667","3,443","0,678"
1993,46,"1,311","0,874","0,066","0,023"
1993,47,"7,74","5,16","0,32","0,29"
1993,48,"0,117","0,078","0,028",NA
1993,63,"0,534","0,356","0,029","0,014"
1993,64,"7,339","4,8926666667","1,613","0,157"
1993,65,"0,714","0,476","0,123","0,027"
1993,79,"0,198","0,132","0,183","0,013"
1993,81,"26,066","17,3773333333","3,242","0,206"
1993,82,"2,185","1,4566666667","0,157","0,199"
1993,86,"0,169","0,1126666667","0,026","0,038"
1993,87,"0,115","0,0766666667","0,006","0,002"
1993,bag,"184,116","122,744","18,531","4,014"
1993,FRF_ADOU,"39,218","26,1453333333","4,866","0,631"
1993,FRF_CHAR,"17,002","11,3346666667","2,349","0,305"
1993,FRF_DORD,"26,603","17,7353333333","1,145","0,443"
1993,FRF_GARO,"41,963","27,9753333333","5,818","1,416"
1993,FRF_LITT,"20,408","13,6053333333","0,415","0,315"
1993,FRF_LOT,"7,464","4,976","0,302","0,207"
1993,FRF_TARN,"31,173","20,782","3,603","0,69"
1994,09,"5,851","3,9006666667","0,478","0,133"
1994,12,"0,604","0,4026666667","0,055","0,113"
1994,15,"1,49","0,9933333333","0,085","0,084"
1994,16,"11,019","7,346","2,477","0,144"
1994,17,"5,702","3,8013333333","0,175","0,073"
1994,19,"2,094","1,396","0,071","0,034"
1994,24,"10,016","6,6773333333","0,615","0,233"
1994,31,"10,109","6,7393333333","2,354","1,744"
1994,32,"1,707","1,138","0,092","0,024"
1994,33,"22,215","14,81","1,595","0,299"
1994,40,"21,073","14,0486666667","1,085","0,29"
1994,46,"1,456","0,9706666667","0,068","0,013"
1994,47,"8,315","5,5433333333","0,304","0,042"
1994,48,"0,089","0,0593333333","0,037","0,001"
1994,63,"0,27","0,18","0,029","0,02"
1994,64,"11,011","7,3406666667","1,204","0,217"
1994,65,"1,32","0,88","0,189","0,05"
1994,79,"0,234","0,156","0,278","0,013"
1994,81,"20,181","13,454","1,737","0,165"
1994,82,"0,856","0,5706666667","0,07","0,157"
1994,86,"0,287","0,1913333333","0,053","0,071"
1994,87,"0,125","0,0833333333","0,007","0,003"
1994,bag,"143,274","95,516","13,158","3,934"
1994,FRF_ADOU,"26,477","17,6513333333","2,184","0,475"
1994,FRF_CHAR,"15,088","10,0586666667","2,895","0,276"
1994,FRF_DORD,"21,481","14,3206666667","1,265","0,408"
1994,FRF_GARO,"32,18","21,4533333333","4,291","2,039"
1994,FRF_LITT,"17,98","11,9866666667","0,337","0,115"
1994,FRF_LOT,"8,106","5,404","0,327","0,17"
1994,FRF_TARN,"21,718","14,4786666667","1,84","0,445"
1995,09,"6,474","4,316","0,501","0,122"
1995,12,"0,501","0,334","0,043","0,13"
1995,15,"1,676","1,1173333333","0,115","0,179"
1995,16,"10,411","6,9406666667","1,097","0,14"
1995,17,"4,632","3,088","0,153","0,144"
1995,19,"1,625","1,0833333333","0,069","0,016"
1995,24,"9,694","6,4626666667","0,568","0,239"
1995,31,"10,327","6,8846666667","2,215","1,055"
1995,32,"1,546","1,0306666667","0,057","0,01"
1995,33,"21,231","14,154","1,468","0,298"
1995,40,"28,398","18,932","2,218","0,643"
1995,46,"1,736","1,1573333333","0,084","0,072"
1995,47,"7,181","4,7873333333","0,26","0,033"
1995,48,"0,154","0,1026666667","0,011","0,001"
1995,63,"0,249","0,166","0,018","0,016"
1995,64,"10,003","6,6686666667","1,325","0,213"
1995,65,"1,312","0,8746666667","0,259","0,057"
1995,79,"0,213","0,142","0,263","0,012"
1995,81,"19,702","13,1346666667","1,645","0,146"
1995,82,"0,993","0,662","0,122","0,067"
1995,86,"0,171","0,114","0,011","0,017"
1995,87,"0,05","0,0333333333","0,003","0,002"
1995,bag,"147,57","98,38","12,612","3,627"
1995,FRF_ADOU,"32,954","21,9693333333","3,423","0,806"
1995,FRF_CHAR,"13,741","9,1606666667","1,453","0,251"
1995,FRF_DORD,"19,961","13,3073333333","1,146","0,583"
1995,FRF_GARO,"33,218","22,1453333333","4,167","1,335"
1995,FRF_LITT,"19,216","12,8106666667","0,373","0,143"
1995,FRF_LOT,"6,889","4,5926666667","0,237","0,182"
1995,FRF_TARN,"21,335","14,2233333333","1,795","0,321"
1996,09,"6,673","4,4486666667","0,503","0,121"
1996,12,"0,306","0,204","0,032","0,134"
1996,15,"1,108","0,7386666667","0,083","0,106"
1996,16,"12,324","8,216","0,713","0,119"
1996,17,"3,411","2,274","0,136","0,06"
1996,19,"2,239","1,4926666667","0,075","0,038"
1996,24,"10,625","7,0833333333","0,712","0,238"
1996,31,"6,998","4,6653333333","2,317","0,512"
1996,32,"0,991","0,6606666667","0,028","0,005"
1996,33,"20,286","13,524","0,984","0,161"
1996,40,"26,672","17,7813333333","2,374","0,53"
1996,46,"1,64","1,0933333333","0,08","0,148"
1996,47,"4,478","2,9853333333","0,183","0,024"
1996,48,"0,088","0,0586666667","0,004","0,001"
1996,63,"0,262","0,1746666667","0,021","0,016"
1996,64,"9,329","6,2193333333","1,681","0,153"
1996,65,"1,549","1,0326666667","0,212","0,063"
1996,79,"0,209","0,1393333333","0,235","0,007"
1996,81,"16,172","10,7813333333","1,307","0,138"
1996,82,"0,661","0,4406666667","0,06","0,047"
1996,86,"0,204","0,136","0,013","0,019"
1996,87,"0,056","0,0373333333","0,004","0,002"
1996,bag,"135,353","90,2353333333","11,897","2,657"
1996,FRF_ADOU,"30,292","20,1946666667","3,648","0,655"
1996,FRF_CHAR,"14,449","9,6326666667","1,023","0,165"
1996,FRF_DORD,"21,615","14,41","1,262","0,588"
1996,FRF_GARO,"26,575","17,7166666667","3,708","0,747"
1996,FRF_LITT,"20,209","13,4726666667","0,698","0,12"
1996,FRF_LOT,"4,691","3,1273333333","0,154","0,179"
1996,FRF_TARN,"17,269","11,5126666667","1,387","0,196"
1997,09,"6,576","4,384","0,415","0,128"
1997,12,"0,969","0,646","0,043","0,169"
1997,15,"1,021","0,6806666667","0,089","0,092"
1997,16,"11,208","7,472","0,86","0,075"
1997,17,"3,445","2,2966666667","0,11","0,024"
1997,19,"3,645","2,43","0,097","0,019"
1997,24,"10,935","7,29","0,477","0,215"
1997,31,"8,917","5,9446666667","2,326","0,207"
1997,32,"1,193","0,7953333333","0,038","0,01"
1997,33,"29,623","19,7486666667","0,926","0,194"
1997,40,"20,635","13,7566666667","2,31","0,473"
1997,46,"2,308","1,5386666667","0,074","0,122"
1997,47,"5,967","3,978","0,275","0,029"
1997,48,"0,07","0,0466666667","0,008","0,006"
1997,63,"0,231","0,154","0,017","0,015"
1997,64,"9,934","6,6226666667","2,712","0,203"
1997,65,"1,509","1,006","0,184","0,028"
1997,79,"0,282","0,188","0,374","0,012"
1997,81,"14,823","9,882","1,293","0,181"
1997,82,"0,928","0,6186666667","0,067","0,042"
1997,86,"0,193","0,1286666667","0,023","0,04"
1997,87,"0,077","0,0513333333","0,005","0,002"
1997,bag,"141,585","94,39","12,882","2,299"
1997,FRF_ADOU,"27,811","18,5406666667","4,593","0,606"
1997,FRF_CHAR,"13,431","8,954","1,3","0,142"
1997,FRF_DORD,"26,297","17,5313333333","1,075","0,475"
1997,FRF_GARO,"31,999","21,3326666667","3,579","0,508"
1997,FRF_LITT,"18,26","12,1733333333","0,733","0,128"
1997,FRF_LOT,"6,54","4,36","0,186","0,207"
1997,FRF_TARN,"16,969","11,3126666667","1,397","0,223"
1998,09,"7,685","5,1233333333","0,573","0,065"
1998,12,"1,074","0,716","0,06","0,052"
1998,15,"1,118","0,7453333333","0,121","0,113"
1998,16,"10,972","7,3146666667","0,96","0,08"
1998,17,"3,047","2,0313333333","0,085","0,026"
1998,19,"2,415","1,61","0,082","0,023"
1998,24,"10,009","6,6726666667","0,475","0,198"
1998,31,"8,65","5,7666666667","2,107","0,224"
1998,32,"1,293","0,862","0,057","0,01"
1998,33,"27,124","18,0826666667","0,895","0,178"
1998,40,"18,281","12,1873333333","2,755","0,51"
1998,46,"2,453","1,6353333333","0,073","0,022"
1998,47,"6,413","4,2753333333","0,234","0,028"
1998,48,"0,132","0,088","0,01","0,005"
1998,63,"0,24","0,16","0,021","0,017"
1998,64,"7,797","5,198","1,17","0,203"
1998,65,"1,664","1,1093333333","0,262","0,038"
1998,79,"0,124","0,0826666667","0,19","0,005"
1998,81,"11,169","7,446","1,487","0,137"
1998,82,"0,945","0,63","0,068","0,039"
1998,86,"0,17","0,1133333333","0,011","0,041"
1998,87,"0,083","0,0553333333","0,007","0,002"
1998,bag,"129,197","86,1313333333","11,814","2,026"
1998,FRF_ADOU,"25,468","16,9786666667","3,145","0,582"
1998,FRF_CHAR,"12,487","8,3246666667","1,188","0,146"
1998,FRF_DORD,"24,633","16,422","1,046","0,381"
1998,FRF_GARO,"31,722","21,148","3,533","0,442"
1998,FRF_LITT,"14,319","9,546","1,109","0,178"
1998,FRF_LOT,"7,13","4,7533333333","0,156","0,084"
1998,FRF_TARN,"13,014","8,676","1,609","0,181"
1999,09,"5,424","3,616","0,405","0,066"
1999,12,"0,988","0,6586666667","0,067","0,047"
1999,15,"0,794","0,5293333333","0,135","0,104"
1999,16,"10,645","7,0966666667","1,066","0,115"
1999,17,"2,724","1,816","0,11","0,027"
1999,19,"2,854","1,9026666667","0,064","0,021"
1999,24,"9,685","6,4566666667","0,4","0,154"
1999,31,"8,715","5,81","2,065","0,321"
1999,32,"1,798","1,1986666667","0,065","0,014"
1999,33,"20,971","13,9806666667","0,958","0,197"
1999,40,"21,192","14,128","2,138","1,825"
1999,46,"1,802","1,2013333333","0,063","0,033"
1999,47,"6,627","4,418","0,304","0,058"
1999,48,"0,323","0,2153333333","0,022","0,017"
1999,63,"0,266","0,1773333333","0,023","0,018"
1999,64,"7,948","5,2986666667","1,183","0,239"
1999,65,"1,4","0,9333333333","0,33","0,039"
1999,79,"0,12","0,08","0,162","0,004"
1999,81,"10,207","6,8046666667","1,694","0,131"
1999,82,"0,971","0,6473333333","0,049","0,054"
1999,86,"0,179","0,1193333333","0,008","0,031"
1999,87,"0,145","0,0966666667","0,006","0,002"
1999,bag,"121,282","80,8546666667","11,386","3,527"
1999,FRF_ADOU,"28,09","18,7266666667","2,902","1,83"
1999,FRF_CHAR,"12,123","8,082","1,261","0,168"
1999,FRF_DORD,"22,864","15,2426666667","1,001","0,341"
1999,FRF_GARO,"25,929","17,286","3,449","0,577"
1999,FRF_LITT,"13,189","8,7926666667","0,729","0,243"
1999,FRF_LOT,"6,633","4,422","0,216","0,118"
1999,FRF_TARN,"12,079","8,0526666667","1,807","0,185"
2000,09,"1,464","0,976","0,082","0,01"
2000,12,"0,577","0,3846666667","0,059","0,042"
2000,15,"1,027","0,6846666667","0,115","0,094"
2000,16,"10,283","6,8553333333","1,138","0,157"
2000,17,"1,995","1,33","0,148","0,041"
2000,19,"2,592","1,728","0,062","0,031"
2000,24,"10,937","7,2913333333","0,317","0,09"
2000,31,"7,837","5,2246666667","2,295","0,269"
2000,32,"1,814","1,2093333333","0,079","0,014"
2000,33,"18,993","12,662","0,881","0,178"
2000,40,"18,358","12,2386666667","3,05","0,935"
2000,46,"1,889","1,2593333333","0,066","0,019"
2000,47,"7,232","4,8213333333","0,271","0,06"
2000,48,"0,138","0,092","0,014","0,009"
2000,63,"0,316","0,2106666667","0,025","0,018"
2000,64,"5,746","3,8306666667","1,021","0,335"
2000,65,"1,294","0,8626666667","0,337","0,052"
2000,79,"0,182","0,1213333333","0,279","0,007"
2000,81,"7,976","5,3173333333","1,575","0,114"
