geo,parametre,type_indic,seq_annee,lb_annee,i_b100
24,Orthophosp,indic_b100,1975-1980,1975,"107,2"
31,Orthophosp,indic_b100,1975-1980,1975,"58,6"
32,Orthophosp,indic_b100,1975-1980,1975,"99,4"
33,Orthophosp,indic_b100,1975-1980,1975,"78,4"
40,Orthophosp,indic_b100,1975-1980,1975,"88,8"
46,Orthophosp,indic_b100,1975-1980,1975,"105,8"
47,Orthophosp,indic_b100,1975-1980,1975,"83,8"
48,Orthophosp,indic_b100,1975-1980,1975,79
64,Orthophosp,indic_b100,1975-1980,1975,"105,2"
65,Orthophosp,indic_b100,1975-1980,1975,"133,6"
79,Orthophosp,indic_b100,1975-1980,1975,374
81,Orthophosp,indic_b100,1975-1980,1975,"57,2"
82,Orthophosp,indic_b100,1975-1980,1975,62
bag,Orthophosp,indic_b100,1975-1980,1975,"88,6"
FRF_ADOU,Orthophosp,indic_b100,1975-1980,1975,"106,2"
FRF_CHAR,Orthophosp,indic_b100,1975-1980,1975,97
FRF_DORD,Orthophosp,indic_b100,1975-1980,1975,"106,8"
FRF_GARO,Orthophosp,indic_b100,1975-1980,1975,"78,2"
FRF_LITT,Orthophosp,indic_b100,1975-1980,1975,"73,8"
FRF_LOT,Orthophosp,indic_b100,1975-1980,1975,"89,4"
FRF_TARN,Orthophosp,indic_b100,1975-1980,1975,"66,8"
09,DBO5,indic_b100,1980-1985,1980,"78,2"
12,DBO5,indic_b100,1980-1985,1980,"65,8"
15,DBO5,indic_b100,1980-1985,1980,"62,8"
16,DBO5,indic_b100,1980-1985,1980,"55,6"
17,DBO5,indic_b100,1980-1985,1980,"80,8"
19,DBO5,indic_b100,1980-1985,1980,"70,6"
24,DBO5,indic_b100,1980-1985,1980,"74,4"
31,DBO5,indic_b100,1980-1985,1980,"63,8"
32,DBO5,indic_b100,1980-1985,1980,"69,8"
33,DBO5,indic_b100,1980-1985,1980,75
40,DBO5,indic_b100,1980-1985,1980,"83,6"
46,DBO5,indic_b100,1980-1985,1980,"84,4"
47,DBO5,indic_b100,1980-1985,1980,"49,4"
48,DBO5,indic_b100,1980-1985,1980,"48,8"
64,DBO5,indic_b100,1980-1985,1980,"64,2"
65,DBO5,indic_b100,1980-1985,1980,"47,8"
79,DBO5,indic_b100,1980-1985,1980,"66,4"
81,DBO5,indic_b100,1980-1985,1980,"64,6"
82,DBO5,indic_b100,1980-1985,1980,"60,6"
bag,DBO5,indic_b100,1980-1985,1980,"64,4"
FRF_ADOU,DBO5,indic_b100,1980-1985,1980,"70,2"
FRF_CHAR,DBO5,indic_b100,1980-1985,1980,"55,6"
FRF_DORD,DBO5,indic_b100,1980-1985,1980,"74,2"
FRF_GARO,DBO5,indic_b100,1980-1985,1980,"61,6"
FRF_LITT,DBO5,indic_b100,1980-1985,1980,"92,2"
FRF_LOT,DBO5,indic_b100,1980-1985,1980,"57,2"
FRF_TARN,DBO5,indic_b100,1980-1985,1980,"60,4"
09,NH4+,indic_b100,1980-1985,1980,"52,8"
12,NH4+,indic_b100,1980-1985,1980,52
15,NH4+,indic_b100,1980-1985,1980,"164,8"
16,NH4+,indic_b100,1980-1985,1980,61
17,NH4+,indic_b100,1980-1985,1980,"68,6"
19,NH4+,indic_b100,1980-1985,1980,38
24,NH4+,indic_b100,1980-1985,1980,"43,8"
31,NH4+,indic_b100,1980-1985,1980,54
32,NH4+,indic_b100,1980-1985,1980,"18,6"
33,NH4+,indic_b100,1980-1985,1980,39
40,NH4+,indic_b100,1980-1985,1980,"106,6"
46,NH4+,indic_b100,1980-1985,1980,"96,2"
47,NH4+,indic_b100,1980-1985,1980,"38,8"
48,NH4+,indic_b100,1980-1985,1980,"51,6"
64,NH4+,indic_b100,1980-1985,1980,"98,6"
65,NH4+,indic_b100,1980-1985,1980,"50,6"
79,NH4+,indic_b100,1980-1985,1980,"90,8"
81,NH4+,indic_b100,1980-1985,1980,"105,4"
82,NH4+,indic_b100,1980-1985,1980,45
bag,NH4+,indic_b100,1980-1985,1980,"56,6"
FRF_ADOU,NH4+,indic_b100,1980-1985,1980,98
FRF_CHAR,NH4+,indic_b100,1980-1985,1980,66
FRF_DORD,NH4+,indic_b100,1980-1985,1980,"43,6"
FRF_GARO,NH4+,indic_b100,1980-1985,1980,"43,6"
FRF_LITT,NH4+,indic_b100,1980-1985,1980,"84,4"
FRF_LOT,NH4+,indic_b100,1980-1985,1980,"69,4"
FRF_TARN,NH4+,indic_b100,1980-1985,1980,"65,4"
09,NO3-,indic_b100,1980-1985,1980,"152,8"
12,NO3-,indic_b100,1980-1985,1980,"135,8"
15,NO3-,indic_b100,1980-1985,1980,"218,6"
16,NO3-,indic_b100,1980-1985,1980,212
17,NO3-,indic_b100,1980-1985,1980,"180,4"
19,NO3-,indic_b100,1980-1985,1980,"163,6"
24,NO3-,indic_b100,1980-1985,1980,"151,4"
31,NO3-,indic_b100,1980-1985,1980,145
32,NO3-,indic_b100,1980-1985,1980,"168,6"
33,NO3-,indic_b100,1980-1985,1980,"139,2"
40,NO3-,indic_b100,1980-1985,1980,"196,4"
46,NO3-,indic_b100,1980-1985,1980,"145,6"
47,NO3-,indic_b100,1980-1985,1980,"160,2"
48,NO3-,indic_b100,1980-1985,1980,"185,8"
64,NO3-,indic_b100,1980-1985,1980,136
65,NO3-,indic_b100,1980-1985,1980,"104,4"
79,NO3-,indic_b100,1980-1985,1980,"273,2"
81,NO3-,indic_b100,1980-1985,1980,"146,4"
82,NO3-,indic_b100,1980-1985,1980,"131,8"
